城市,省份,累计确诊人数
境外输入,上海市,283
长宁区,上海市,13
普陀区,上海市,11
虹口区,上海市,7
杨浦区,上海市,9
闵行区,上海市,19
浦东新区,上海市,61
金山区,上海市,4
松江区,上海市,14
青浦区,上海市,6
奉贤区,上海市,9
崇明区,上海市,4
外地来沪,上海市,111
未公布来源,上海市,0
黄浦区,上海市,6
徐汇区,上海市,18
静安区,上海市,16
宝山区,上海市,22
嘉定区,上海市,9
境外输入,云南省,10
昆明市,云南省,53
曲靖市,云南省,13
保山市,云南省,9
昭通市,云南省,25
丽江市,云南省,7
普洱市,云南省,4
临沧市,云南省,1
楚雄彝族自治州,云南省,4
红河哈尼族彝族自治州,云南省,9
文山壮族苗族自治州,云南省,2
大理白族自治州,云南省,13
德宏傣族景颇族自治州,云南省,5
怒江傈僳族自治州,云南省,0
迪庆藏族自治州,云南省,0
玉溪市,云南省,14
西双版纳傣族自治州,云南省,15
境外输入,内蒙古自治区,115
呼和浩特市,内蒙古自治区,7
包头市,内蒙古自治区,11
乌海市,内蒙古自治区,2
赤峰市,内蒙古自治区,9
通辽市,内蒙古自治区,7
鄂尔多斯市,内蒙古自治区,11
呼伦贝尔市,内蒙古自治区,7
乌兰察布市,内蒙古自治区,3
兴安盟,内蒙古自治区,1
锡林郭勒盟,内蒙古自治区,9
阿拉善盟,内蒙古自治区,0
巴彦淖尔市,内蒙古自治区,8
境外输入,北京市,174
外地来京,北京市,25
东城区,北京市,14
西城区,北京市,53
朝阳区,北京市,72
丰台区,北京市,43
石景山区,北京市,14
海淀区,北京市,64
门头沟区,北京市,3
房山区,北京市,16
通州区,北京市,19
顺义区,北京市,10
昌平区,北京市,29
大兴区,北京市,39
怀柔区,北京市,7
平谷区,北京市,0
密云区,北京市,7
延庆区,北京市,1
未公布来源,北京市,0
境外输入,吉林省,9
梅河口,吉林省,1
公主岭,吉林省,6
长春市,吉林省,45
吉林市,吉林省,5
辽源市,吉林省,7
通化市,吉林省,6
白山市,吉林省,0
松原市,吉林省,2
白城市,吉林省,1
延边朝鲜族自治州,吉林省,5
四平市,吉林省,15
境外输入,四川省,0
自贡市,四川省,9
攀枝花市,四川省,16
泸州市,四川省,24
德阳市,四川省,18
绵阳市,四川省,22
广元市,四川省,6
遂宁市,四川省,17
内江市,四川省,22
乐山市,四川省,3
南充市,四川省,39
眉山市,四川省,8
宜宾市,四川省,12
广安市,四川省,30
达州市,四川省,42
雅安市,四川省,7
巴中市,四川省,24
资阳市,四川省,4
阿坝藏族羌族自治州,四川省,1
甘孜藏族自治州,四川省,78
凉山彝族自治州,四川省,13
成都市,四川省,165
境外输入,天津市,49
外地来津,天津市,6
和平区,天津市,6
河西区,天津市,4
南开区,天津市,6
河北区,天津市,12
红桥区,天津市,2
东丽区,天津市,4
西青区,天津市,4
津南区,天津市,2
北辰区,天津市,6
武清区,天津市,2
滨海新区,天津市,3
宁河区,天津市,4
静海区,天津市,0
蓟州区,天津市,0
河东区,天津市,15
宝坻区,天津市,60
境外输入,宁夏回族自治区,0
宁东管委会,宁夏回族自治区,1
银川市,宁夏回族自治区,36
石嘴山市,宁夏回族自治区,1
吴忠市,宁夏回族自治区,28
固原市,宁夏回族自治区,5
中卫市,宁夏回族自治区,4
境外输入,安徽省,1
芜湖市,安徽省,34
淮南市,安徽省,27
马鞍山市,安徽省,38
淮北市,安徽省,27
铜陵市,安徽省,29
安庆市,安徽省,83
黄山市,安徽省,9
滁州市,安徽省,13
阜阳市,安徽省,155
宿州市,安徽省,41
六安市,安徽省,69
亳州市,安徽省,108
池州市,安徽省,17
宣城市,安徽省,6
合肥市,安徽省,174
蚌埠市,安徽省,160
境外输入,山东省,23
济南市,山东省,47
枣庄市,山东省,24
东营市,山东省,0
烟台市,山东省,47
潍坊市,山东省,44
济宁市,山东省,260
日照市,山东省,16
临沂市,山东省,49
聊城市,山东省,38
滨州市,山东省,15
菏泽市,山东省,18
青岛市,山东省,63
淄博市,山东省,30
威海市,山东省,38
泰安市,山东省,35
德州市,山东省,37
境外输入,山西省,53
太原市,山西省,20
大同市,山西省,12
阳泉市,山西省,4
长治市,山西省,8
晋城市,山西省,10
朔州市,山西省,8
晋中市,山西省,37
运城市,山西省,19
忻州市,山西省,7
临汾市,山西省,2
吕梁市,山西省,6
境外输入,广东省,0
未公布来源,广东省,0
汕头市,广东省,26
佛山市,广东省,97
江门市,广东省,24
湛江市,广东省,24
茂名市,广东省,14
惠州市,广东省,62
梅州市,广东省,17
汕尾市,广东省,5
河源市,广东省,5
阳江市,广东省,14
清远市,广东省,12
中山市,广东省,68
潮州市,广东省,6
揭阳市,广东省,11
云浮市,广东省,0
广州市,广东省,490
韶关市,广东省,10
珠海市,广东省,103
肇庆市,广东省,20
东莞市,广东省,100
深圳市,广东省,458
境外输入,广西壮族自治区,2
南宁市,广西壮族自治区,55
柳州市,广西壮族自治区,24
桂林市,广西壮族自治区,32
梧州市,广西壮族自治区,5
防城港市,广西壮族自治区,19
钦州市,广西壮族自治区,8
贵港市,广西壮族自治区,8
玉林市,广西壮族自治区,11
百色市,广西壮族自治区,3
贺州市,广西壮族自治区,4
来宾市,广西壮族自治区,11
崇左市,广西壮族自治区,0
北海市,广西壮族自治区,44
河池市,广西壮族自治区,28
境外输入,新疆维吾尔自治区,0
第七师,新疆维吾尔自治区,1
第十二师,新疆维吾尔自治区,3
乌鲁木齐市,新疆维吾尔自治区,23
克拉玛依市,新疆维吾尔自治区,0
吐鲁番市,新疆维吾尔自治区,3
哈密市,新疆维吾尔自治区,0
昌吉回族自治州,新疆维吾尔自治区,4
博尔塔拉蒙古自治州,新疆维吾尔自治区,0
巴音郭楞蒙古自治州,新疆维吾尔自治区,3
阿克苏地区,新疆维吾尔自治区,1
克孜勒苏柯尔克孜自治州,新疆维吾尔自治区,0
喀什地区,新疆维吾尔自治区,0
和田地区,新疆维吾尔自治区,0
伊犁哈萨克自治州,新疆维吾尔自治区,18
塔城地区,新疆维吾尔自治区,0
阿勒泰地区,新疆维吾尔自治区,0
阿拉尔市,新疆维吾尔自治区,0
图木舒克市,新疆维吾尔自治区,0
五家渠市,新疆维吾尔自治区,2
北屯市,新疆维吾尔自治区,0
铁门关市,新疆维吾尔自治区,0
双河市,新疆维吾尔自治区,0
可克达拉市,新疆维吾尔自治区,0
昆玉市,新疆维吾尔自治区,0
第九师,新疆维吾尔自治区,4
第四师,新疆维吾尔自治区,10
石河子市,新疆维吾尔自治区,4
境外输入,江苏省,22
南京市,江苏省,93
无锡市,江苏省,55
徐州市,江苏省,79
常州市,江苏省,51
苏州市,江苏省,87
南通市,江苏省,40
连云港市,江苏省,48
淮安市,江苏省,66
盐城市,江苏省,27
扬州市,江苏省,23
镇江市,江苏省,12
泰州市,江苏省,37
宿迁市,江苏省,13
境外输入,江西省,2
赣江新区,江西省,1
南昌市,江西省,230
景德镇市,江西省,6
萍乡市,江西省,33
九江市,江西省,118
新余市,江西省,130
鹰潭市,江西省,18
吉安市,江西省,22
宜春市,江西省,106
抚州市,江西省,72
上饶市,江西省,123
赣州市,江西省,76
境外输入,河北省,9
石家庄市,河北省,29
邯郸市,河北省,32
保定市,河北省,32
张家口市,河北省,41
承德市,河北省,7
廊坊市,河北省,30
衡水市,河北省,8
唐山市,河北省,58
秦皇岛市,河北省,10
邢台市,河北省,23
沧州市,河北省,48
境外输入,河南省,3
开封市,河南省,26
安阳市,河南省,53
鹤壁市,河南省,19
濮阳市,河南省,17
漯河市,河南省,36
驻马店市,河南省,139
济源市,河南省,5
洛阳市,河南省,31
平顶山市,河南省,58
焦作市,河南省,32
许昌市,河南省,39
三门峡市,河南省,7
周口市,河南省,76
信阳市,河南省,274
新乡市,河南省,57
南阳市,河南省,156
商丘市,河南省,91
郑州市,河南省,157
划归外省,浙江省,0
境外输入,浙江省,49
省十里丰监狱,浙江省,36
杭州市,浙江省,181
宁波市,浙江省,157
嘉兴市,浙江省,46
湖州市,浙江省,10
绍兴市,浙江省,42
金华市,浙江省,55
衢州市,浙江省,14
舟山市,浙江省,10
台州市,浙江省,146
丽水市,浙江省,17
温州市,浙江省,504
境外输入,海南省,0
海口市,海南省,39
三沙市,海南省,0
五指山市,海南省,0
文昌市,海南省,3
万宁市,海南省,13
屯昌县,海南省,0
临高县,海南省,6
白沙黎族自治县,海南省,0
昌江黎族自治县,海南省,7
乐东黎族自治县,海南省,2
陵水黎族自治县,海南省,4
保亭黎族苗族自治县,海南省,3
琼中黎族苗族自治县,海南省,1
三亚市,海南省,54
儋州市,海南省,15
琼海市,海南省,6
东方市,海南省,3
定安县,海南省,3
澄迈县,海南省,9
境外输入,湖北省,1
监狱系统,湖北省,0
神农架林区,湖北省,11
恩施土家族苗族自治州,湖北省,252
十堰市,湖北省,672
潜江市,湖北省,198
咸宁市,湖北省,836
天门市,湖北省,496
仙桃市,湖北省,575
宜昌市,湖北省,931
黄石市,湖北省,1015
襄阳市,湖北省,1175
荆门市,湖北省,928
随州市,湖北省,1307
荆州市,湖北省,1580
鄂州市,湖北省,1394
黄冈市,湖北省,2907
孝感市,湖北省,3518
武汉市,湖北省,50007
境外输入,湖南省,1
株洲市,湖南省,80
湘潭市,湖南省,36
衡阳市,湖南省,48
常德市,湖南省,82
张家界市,湖南省,5
益阳市,湖南省,60
郴州市,湖南省,39
永州市,湖南省,44
怀化市,湖南省,40
娄底市,湖南省,76
湘西土家族苗族自治州,湖南省,8
邵阳市,湖南省,102
岳阳市,湖南省,156
长沙市,湖南省,242
境外输入,甘肃省,47
嘉峪关市,甘肃省,0
金昌市,甘肃省,1
白银市,甘肃省,4
天水市,甘肃省,12
武威市,甘肃省,0
张掖市,甘肃省,2
平凉市,甘肃省,9
酒泉市,甘肃省,0
庆阳市,甘肃省,3
定西市,甘肃省,9
陇南市,甘肃省,4
临夏回族自治州,甘肃省,3
甘南藏族自治州,甘肃省,8
兰州市,甘肃省,37
境外输入,福建省,57
厦门市,福建省,35
莆田市,福建省,56
三明市,福建省,14
泉州市,福建省,47
漳州市,福建省,20
南平市,福建省,20
龙岩市,福建省,6
宁德市,福建省,26
福州市,福建省,72
境外输入,西藏自治区,0
拉萨市,西藏自治区,1
日喀则市,西藏自治区,0
昌都市,西藏自治区,0
林芝市,西藏自治区,0
山南市,西藏自治区,0
那曲,西藏自治区,0
阿里地区,西藏自治区,0
境外输入,贵州省,1
遵义市,贵州省,32
安顺市,贵州省,4
毕节市,贵州省,23
铜仁市,贵州省,10
黔西南布依族苗族自治州,贵州省,4
黔东南苗族侗族自治州,贵州省,10
黔南布依族苗族自治州,贵州省,17
贵阳市,贵州省,36
六盘水市,贵州省,10
境外输入,辽宁省,21
沈阳市,辽宁省,28
大连市,辽宁省,18
鞍山市,辽宁省,4
本溪市,辽宁省,3
丹东市,辽宁省,11
锦州市,辽宁省,12
营口市,辽宁省,1
阜新市,辽宁省,8
辽阳市,辽宁省,3
盘锦市,辽宁省,11
铁岭市,辽宁省,7
朝阳市,辽宁省,6
葫芦岛市,辽宁省,12
万盛经开区,重庆市,1
境外输入,重庆市,3
高新区,重庆市,4
两江新区,重庆市,17
涪陵区,重庆市,5
渝中区,重庆市,20
大渡口区,重庆市,7
江北区,重庆市,28
沙坪坝区,重庆市,9
南岸区,重庆市,15
北碚区,重庆市,0
綦江区,重庆市,23
大足区,重庆市,14
渝北区,重庆市,17
巴南区,重庆市,6
黔江区,重庆市,2
长寿区,重庆市,22
江津区,重庆市,4
合川区,重庆市,23
永川区,重庆市,5
南川区,重庆市,0
璧山区,重庆市,9
铜梁区,重庆市,10
潼南区,重庆市,18
荣昌区,重庆市,9
梁平区,重庆市,4
武隆区,重庆市,1
城口县,重庆市,2
丰都县,重庆市,10
垫江县,重庆市,20
忠县,重庆市,21
云阳县,重庆市,25
奉节县,重庆市,22
巫山县,重庆市,10
巫溪县,重庆市,14
石柱土家族自治县,重庆市,15
秀山土家族苗族自治县,重庆市,1
酉阳土家族苗族自治县,重庆市,1
彭水苗族土家族自治县,重庆市,2
九龙坡区,重庆市,21
开州区,重庆市,21
万州区,重庆市,118
境外输入,陕西省,11
杨凌示范区,陕西省,1
铜川市,陕西省,8
宝鸡市,陕西省,13
咸阳市,陕西省,17
渭南市,陕西省,15
延安市,陕西省,8
汉中市,陕西省,26
榆林市,陕西省,3
安康市,陕西省,26
商洛市,陕西省,7
韩城,陕西省,1
西安市,陕西省,120
境外输入,青海省,0
西宁市,青海省,15
海东市,青海省,0
海北藏族自治州,青海省,3
黄南藏族自治州,青海省,0
海南藏族自治州,青海省,0
果洛藏族自治州,青海省,0
玉树藏族自治州,青海省,0
海西蒙古族藏族自治州,青海省,0
境外输入,黑龙江省,340
鸡西市,黑龙江省,46
鹤岗市,黑龙江省,5
伊春市,黑龙江省,1
佳木斯市,黑龙江省,15
七台河市,黑龙江省,17
牡丹江市,黑龙江省,15
黑河市,黑龙江省,14
大兴安岭地区,黑龙江省,3
齐齐哈尔市,黑龙江省,43
大庆市,黑龙江省,26
双鸭山市,黑龙江省,52
哈尔滨市,黑龙江省,217
绥化市,黑龙江省,47
