time,number,number/day
2022年12月7日,344540.2,49.6
2022年12月6日,344490.6,35.8
2022年12月5日,344454.8,25.3
2022年12月4日,344429.5,12.9
2022年12月3日,344416.6,15.6
2022年12月2日,344401,12.3
2022年12月1日,344388.7,13.8
2022年11月30日,344374.9,19.5
2022年11月29日,344355.4,10.3
2022年11月28日,344345.1,12.4
2022年11月27日,344332.7,8.7
2022年11月26日,344324,12.6
2022年11月25日,344311.4,13.8
2022年11月24日,344297.6,13.6
2022年11月23日,344284,15.7
2022年11月22日,344268.3,14.4
2022年11月21日,344253.9,16.3
2022年11月20日,344237.6,12.3
2022年11月19日,344225.3,17.3
2022年11月18日,344208,22.1
2022年11月17日,344185.9,17.9
2022年11月16日,344168,18.3
2022年11月15日,344149.7,16.3
2022年11月14日,344133.4,12.9
2022年11月13日,344120.5,7.9
2022年11月12日,344112.6,11.9
2022年11月11日,344100.7,12.8
2022年11月10日,344087.9,11.9
2022年11月9日,344076,12.2
2022年11月8日,344063.8,11.4
2022年11月7日,344052.4,10.3
2022年11月6日,344042.1,7.5
2022年11月5日,344034.6,11.5
2022年11月4日,344023.1,11.2
2022年11月3日,344011.9,10.3
2022年11月2日,344001.6,10.9
2022年11月1日,343990.7,10.5
2022年10月31日,343980.2,10.4
2022年10月30日,343969.8,7.8
2022年10月29日,343962,9.5
2022年10月28日,343952.5,11.7
2022年10月27日,343940.8,10.9
2022年10月26日,343929.9,9.8
2022年10月25日,343920.1,11.4
2022年10月24日,343908.7,9.4
2022年10月23日,343899.3,7.3
2022年10月22日,343892,10.3
2022年10月21日,343881.7,12
2022年10月20日,343869.7,10.9
2022年10月19日,343858.8,10.6
2022年10月18日,343848.2,10.4
2022年10月17日,343837.8,10.1
2022年10月16日,343827.7,7.5
2022年10月15日,343820.2,11.6
2022年10月14日,343808.6,12.5
2022年10月13日,343796.1,11
2022年10月12日,343785.1,12.3
2022年10月11日,343772.8,10.9
2022年10月10日,343761.9,10.3
2022年10月9日,343751.6,7.4
2022年10月8日,343744.2,9.5
2022年10月7日,343734.7,6.1
2022年10月6日,343728.6,6.8
2022年10月5日,343721.8,5.7
2022年10月4日,343716.1,7.6
2022年10月3日,343708.5,6.7
2022年10月2日,343701.8,5.2
2022年10月1日,343696.6,5.5
2022年9月30日,343691.1,13.8
2022年9月29日,343677.3,14.3
2022年9月28日,343663,13.6
2022年9月27日,343649.4,13.9
2022年9月26日,343635.5,12.8
2022年9月25日,343622.7,9.5
2022年9月24日,343613.2,13.1
2022年9月23日,343600.1,14.6
2022年9月22日,343585.5,13.6
2022年9月21日,343571.9,14.2
2022年9月20日,343557.7,13.5
2022年9月19日,343544.2,14
2022年9月18日,343530.2,9.5
2022年9月17日,343520.7,14.1
2022年9月16日,343506.6,16
2022年9月15日,343490.6,13.2
2022年9月14日,343477.4,15.3
2022年9月13日,343462.1,13.4
2022年9月12日,343448.7,9.7
2022年9月11日,343439,7.3
2022年9月10日,343431.7,4.7
2022年9月9日,343427,15.1
2022年9月8日,343411.9,15.9
2022年9月7日,343396,17.2
2022年9月6日,343378.8,17.3
2022年9月5日,343361.5,16.5
2022年9月4日,343345,12.2
2022年9月3日,343332.8,14.6
2022年9月2日,343318.2,19.8
2022年9月1日,343298.4,20.6
2022年8月31日,343277.8,27.2
2022年8月30日,343250.6,27.1
2022年8月29日,343223.5,27
2022年8月28日,343196.5,17.4
2022年8月27日,343179.1,23.1
2022年8月26日,343156,31.3
2022年8月25日,343124.7,29.8
2022年8月24日,343094.9,32.5
2022年8月23日,343062.4,32.7
2022年8月22日,343029.7,30.9
2022年8月21日,342998.8,18.4
2022年8月20日,342980.4,22.5
2022年8月19日,342957.9,32.5
2022年8月18日,342925.4,32.1
2022年8月17日,342893.3,34.6
2022年8月16日,342858.7,32.9
2022年8月15日,342825.8,29.3
2022年8月14日,342796.5,17.7
2022年8月13日,342778.8,22.4
2022年8月12日,342756.4,31.8
2022年8月11日,342724.6,30.8
2022年8月10日,342693.8,31.9
2022年8月9日,342661.9,30.3
2022年8月8日,342631.6,29.3
2022年8月7日,342602.3,18
2022年8月6日,342584.3,25
2022年8月5日,342559.3,37.5
2022年8月4日,342521.8,38
2022年8月3日,342483.8,37.3
2022年8月2日,342446.5,39.5
2022年8月1日,342407,40.1
2022年7月31日,342366.9,75.9
2022年7月30日,342291,85
2022年7月29日,342206,93.9
2022年7月28日,342112.1,86.1
2022年7月27日,342026,81.9
2022年7月26日,341944.1,80.3
2022年7月25日,341863.8,73.8
2022年7月24日,341790,54.3
2022年7月23日,341735.7,63
2022年7月22日,341672.7,79.3
2022年7月21日,341593.4,78.8
2022年7月20日,341514.6,75.8
2022年7月19日,341438.8,76
2022年7月18日,341362.8,67.8
2022年7月17日,341295,49.3
2022年7月16日,341245.7,55.4
2022年7月15日,341190.3,76.7
2022年7月14日,341113.6,72.3
2022年7月13日,341041.3,71.6
2022年7月12日,340969.7,66.5
2022年7月11日,340903.2,641
2022年6月30日,340262.2,76.5
2022年6月29日,340185.7,74.5
2022年6月28日,340111.2,71.1
2022年6月27日,340040.1,59.8
2022年6月26日,339980.3,48.6
2022年6月25日,339931.7,55.5
2022年6月24日,339876.2,76.9
2022年6月23日,339799.3,76.9
2022年6月22日,339722.4,77.8
2022年6月21日,339644.6,74.2
2022年6月20日,339570.4,67.8
2022年6月19日,339502.6,52.2
2022年6月18日,339450.4,59.7
2022年6月17日,339390.7,78.8
2022年6月16日,339311.9,116.4
2022年6月15日,339195.5,86.7
2022年6月14日,339108.8,89.4
2022年6月13日,339019.4,74
2022年6月12日,338945.4,55
2022年6月11日,338890.4,64.8
2022年6月10日,338825.6,81
2022年6月9日,338744.6,79.9
2022年6月8日,338664.7,79.4
2022年6月7日,338585.3,77.3
2022年6月6日,338508,70.8
2022年6月5日,338437.2,45.4
2022年6月4日,338391.8,50.2
2022年6月3日,338341.6,41.8
2022年6月2日,338299.8,82
2022年6月1日,338217.8,86.4
2022年5月31日,338131.4,112.3
2022年5月30日,338019.1,111.6
2022年5月29日,337907.5,86.4
2022年5月28日,337821.1,105.8
2022年5月27日,337715.3,125.5
2022年5月26日,337589.8,117.2
2022年5月25日,337472.6,126.6
2022年5月24日,337346,121.7
2022年5月23日,337224.3,114.7
2022年5月22日,337109.6,93.4
2022年5月21日,337016.2,110.5
2022年5月20日,336905.7,133.7
2022年5月19日,336772,131.8
2022年5月18日,336640.2,141.5
2022年5月17日,336498.7,133.6
2022年5月16日,336365.1,126.2
2022年5月15日,336238.9,105.6
2022年5月14日,336133.3,128.3
2022年5月13日,336005,147.4
2022年5月12日,335857.6,145.6
2022年5月11日,335712,158.5
2022年5月10日,335553.5,133.9
2022年5月9日,335419.6,117.4
2022年5月8日,335302.2,96.9
2022年5月7日,335205.3,111.9
2022年5月6日,335093.4,123.2
2022年5月5日,334970.2,111.4
2022年5月4日,334858.8,94.8
2022年5月3日,334764,103.3
2022年5月2日,334660.7,108.3
2022年5月1日,334552.4,99.6
2022年4月30日,334452.8,152
2022年4月29日,334300.8,229.7
2022年4月28日,334071.1,215.6
2022年4月27日,333855.5,227
2022年4月26日,333628.5,226.7
2022年4月25日,333401.8,224.7
2022年4月24日,333177.1,200.5
2022年4月23日,332976.6,215
2022年4月22日,332761.6,256.7
2022年4月21日,332504.9,256.1
2022年4月20日,332248.8,253.8
2022年4月19日,331995,248.7
2022年4月18日,331746.3,227.7
2022年4月17日,331518.6,184.8
2022年4月16日,331333.8,209.3
2022年4月15日,331124.5,262.9
2022年4月14日,330861.6,273.2
2022年4月13日,330588.4,275.8
2022年4月12日,330312.6,279.8
2022年4月11日,330032.8,277.7
2022年4月10日,329755.1,234.3
2022年4月9日,329520.8,256.5
2022年4月8日,329264.3,318
2022年4月7日,328946.3,309
2022年4月6日,328637.3,278.7
2022年4月5日,328358.6,198.2
2022年4月4日,328160.4,235.5
2022年4月3日,327924.9,236.3
2022年4月2日,327688.6,276.6
2022年4月1日,327412,324.6
2022年3月31日,327087.4,373.4
2022年3月30日,326714,401.1
2022年3月29日,326312.9,408.7
2022年3月28日,325904.2,405.8
2022年3月27日,325498.4,357.2
2022年3月26日,325141.2,378.8
2022年3月25日,324762.4,402.5
2022年3月24日,324359.9,442.9
2022年3月23日,323917,456.9
2022年3月22日,323460.1,423.4
2022年3月21日,323036.7,403.3
2022年3月20日,322633.4,346.6
2022年3月19日,322286.8,415.2
2022年3月18日,321871.6,494.3
2022年3月17日,321377.3,473.2
2022年3月16日,320904.1,535.3
2022年3月15日,320368.8,541.6
2022年3月14日,319827.2,503.6
2022年3月13日,319323.6,381
2022年3月12日,318942.6,418.7
2022年3月11日,318523.9,517.9
2022年3月10日,318006,507.6
2022年3月9日,317498.4,506.8
2022年3月8日,316991.6,443
2022年3月7日,316548.6,480.1
2022年3月6日,316068.5,378.6
2022年3月5日,315689.9,448
2022年3月4日,315241.9,541.2
2022年3月3日,314700.7,553.4
2022年3月2日,314147.3,587.5
2022年3月1日,313559.8,575.3
2022年2月28日,312984.5,572.7
2022年2月27日,312411.8,445.4
2022年2月26日,311966.4,504.2
2022年2月25日,311462.2,633.6
2022年2月24日,310828.6,652.6
2022年2月23日,310176,599.3
2022年2月22日,309576.7,545.8
2022年2月21日,309030.9,559.7
2022年2月20日,308471.2,392.4
2022年2月19日,308078.8,503.6
2022年2月18日,307575.2,613.3
2022年2月17日,306961.9,622.8
2022年2月16日,306339.1,639.4
2022年2月15日,305699.7,456.2
2022年2月14日,305243.5,574.8
2022年2月13日,304668.7,431.1
2022年2月12日,304237.6,566.9
2022年2月11日,303670.7,711.9
2022年2月10日,302958.8,694.2
2022年2月9日,302264.6,649.6
2022年2月8日,301615,548.1
2022年2月7日,301066.9,380.7
2022年2月6日,300686.2,218.1
2022年2月5日,300468.1,178.5
2022年2月4日,300289.6,127.2
2022年2月3日,300162.4,73.1
2022年2月2日,300089.3,29
2022年2月1日,300060.3,7.1
2022年1月31日,300053.2,33.4
2022年1月30日,300019.8,231.4
2022年1月29日,299788.4,372.2
2022年1月28日,299416.2,468.2
2022年1月27日,298948,542.5
2022年1月26日,298405.5,540.9
2022年1月25日,297864.6,518.7
2022年1月24日,297345.9,533.8
2022年1月23日,296812.1,375.1
2022年1月22日,296437,369.5
2022年1月21日,296067.5,445.7
2022年1月20日,295621.8,437.2
2022年1月19日,295184.6,471
2022年1月18日,294713.6,502.5
2022年1月17日,294211.1,447.9
2022年1月16日,293763.2,414.7
2022年1月15日,293348.5,450.4
2022年1月14日,292898.1,528.3
2022年1月13日,292369.8,544.9
2022年1月12日,291824.9,607.1
2022年1月11日,291217.8,654
2022年1月10日,290563.8,608.1
2022年1月9日,289955.7,537.9
2022年1月8日,289417.8,640.6
2022年1月7日,288777.2,777.9
2022年1月6日,287999.3,797.6
2022年1月5日,287201.7,845.6
2022年1月4日,286356.1,833.6
2022年1月3日,285522.5,732.7
2022年1月2日,284789.8,662.9
2022年1月1日,284126.9,593.7
2021年12月31日,283533.2,1191.4
2021年12月30日,282341.8,1330
2021年12月29日,281011.8,1440.2
2021年12月28日,279571.6,1384.7
2021年12月27日,278186.9,1233.9
2021年12月26日,276953,1143.6
2021年12月25日,275809.4,1221.7
2021年12月24日,274587.7,1312.8
2021年12月23日,273274.9,1329
2021年12月22日,271945.9,1278.3
2021年12月21日,270667.6,1149.5
2021年12月20日,269518.1,1089.1
2021年12月19日,268429,1060.2
2021年12月18日,267368.8,之前合计
